,ndex,name,points
60,1010,Iron Leaves,46.0857421875
61,802,Marshadow,46.0759765625
62,473,Mamoswine,46.0701171875
63,740,Crabominable,46.069140625
64,720,Hoopa,46.0681640625
65,257,Blaziken,46.0642578125
66,530,Excadrill,46.05546875
67,555,Darmanitan,46.049609375
68,792,Lunala,45.886328125000006
69,639,Terrakion,45.683789062500004
70,986,Brute Bonnet,45.492578125
71,466,Electivire,45.46484375000001
72,900,Kleavor,45.0837890625
73,68,Machamp,45.075
74,642,Thundurus,45.0662109375
75,641,Tornadus,45.0662109375
76,892,Urshifu,44.6857421875
77,286,Breloom,44.0701171875
78,887,Dragapult,44.069140625
79,805,Stakataka,43.58046875
80,984,Great Tusk,43.50859375
81,212,Scizor,43.0896484375
82,405,Luxray,43.073046875
83,861,Grimmsnarl,43.061328125
84,332,Cacturne,43.0544921875
85,319,Sharpedo,43.0349609375
86,721,Volcanion,42.1072265625
87,1014,Okidogi,42.1025390625
88,99,Kingler,42.0955078125
89,348,Armaldo,42.0896484375
90,342,Crawdaunt,42.073046875
91,112,Rhydon,41.0984375
92,604,Eelektross,41.0740234375
93,914,Quaquaval,41.073046875
94,675,Pangoro,41.070703125
95,475,Gallade,41.069140625
96,768,Golisopod,40.1228515625
97,625,Bisharp,40.0876953125
98,812,Rillaboom,40.0798828125
99,937,Ceruledge,40.0779296875
100,130,Gyarados,40.0771484375
101,903,Sneasler,40.0583984375
102,800,Necrozma,39.0921875
103,750,Mudsdale,39.090625
104,127,Pinsir,39.0876953125
105,785,Tapu Koko,39.076953125
106,760,Bewear,39.0701171875
107,733,Toucannon,39.069140625
108,448,Lucario,39.0642578125
109,697,Tyrantrum,38.700390625000004
110,847,Barraskewda,38.4525390625
111,623,Golurk,38.274023437500006
112,893,Zarude,38.096484375
113,382,Kyogre,38.0935546875
114,244,Entei,38.076953125
115,807,Zeraora,38.0701171875
116,851,Centiskorch,38.0642578125
117,628,Braviary,37.869140625
118,1022,Iron Boulder,37.6794921875
119,1018,Archaludon,37.11015625
120,635,Hydreigon,37.0837890625
121,354,Banette,36.658984375
122,853,Grapploct,36.4818359375
123,784,Kommo-o,36.1140625
124,232,Donphan,36.1013671875
125,727,Incineroar,36.0837890625
126,621,Druddigon,36.0837890625
127,1017,Ogerpon,36.0802734375
128,943,Mabosstiff,36.0798828125
129,59,Arcanine,36.0740234375
130,214,Heracross,36.073046875
131,210,Granbull,36.0662109375
132,947,Brambleghast,36.0642578125
133,952,Scovillain,36.059375
134,571,Zoroark,36.0544921875
135,841,Flapple,35.0701171875
136,973,Flamigo,35.0662109375
137,775,Komala,35.065234375
138,553,Krookodile,34.664257812500004
139,763,Tsareena,34.0916015625
140,966,Revavroom,34.079296875000004
141,539,Sawk,34.069140625
142,923,Pawmot,34.0623046875
143,398,Staraptor,34.0603515625
144,408,Cranidos,34.0330078125
145,815,Cinderace,33.869140625
146,796,Xurkitree,33.865234375
147,724,Decidueye,33.674023437500004
148,902,Basculegion,33.661328125000004
149,1020,Gouging Fire,33.10859375
150,481,Mesprit,33.0984375
151,141,Kabutops,33.0916015625
152,260,Swampert,33.0837890625
153,146,Moltres,33.0828125
154,904,Overqwil,33.0828125
155,224,Octillery,33.069140625
156,899,Wyrdeer,33.066796875
157,461,Weavile,33.06328125
158,864,Cursola,33.0603515625
159,566,Archen,32.43984375
160,908,Meowscarada,32.2642578125
161,874,Stonjourner,32.1052734375
162,990,Iron Treads,32.1033203125
163,766,Passimian,32.0779296875
164,392,Infernape,32.065234375
165,71,Victreebel,32.0583984375
166,335,Zangoose,32.0544921875
167,297,Hariyama,32.0544921875
168,450,Hippowdon,31.3021484375
169,565,Carracosta,31.1125
170,745,Lycanroc,31.059375
171,106,Hitmonlee,31.0587890625
172,713,Avalugg,30.5486328125
173,797,Celesteela,30.29609375
174,389,Torterra,30.294531250000002
175,801,Magearna,30.108203125
176,465,Tangrowth,30.1033203125
177,367,Huntail,30.092578125
178,706,Goodra,30.0798828125
179,979,Annihilape,30.0759765625
180,614,Beartic,30.0740234375
181,454,Toxicroak,30.059375000000003
182,834,Drednaw,29.6794921875
183,503,Samurott,29.6759765625
184,611,Fraxure,29.6603515625
185,849,Toxtricity,29.264257812500002
186,103,Exeggutor,29.075
187,709,Trevenant,29.0712890625
188,143,Snorlax,29.0681640625
189,467,Magmortar,29.066796875
190,323,Camerupt,29.065234375
191,419,Floatzel,29.0486328125
192,652,Chesnaught,28.505859375
193,799,Guzzlord,28.247656250000002
194,306,Aggron,28.1482421875
195,719,Diancie,28.1423828125
196,487,Giratina,28.1130859375
197,470,Leafeon,28.11015625
198,884,Duraludon,28.0955078125
199,385,Jirachi,28.0935546875
200,490,Manaphy,28.0935546875
201,251,Celebi,28.0935546875
202,151,Mew,28.0935546875
203,492,Shaymin,28.0935546875
204,494,Victini,28.0935546875
205,754,Lurantis,28.0837890625
206,85,Dodrio,28.0623046875
207,336,Seviper,28.0544921875
208,895,Regidrago,28.0447265625
209,894,Regieleki,28.0447265625
210,160,Feraligatr,27.890234375
211,673,Gogoat,27.46015625
212,975,Cetitan,27.457421875
213,858,Hatterene,27.290234375
214,76,Golem,27.11015625
215,871,Pincurchin,27.086718750000003
216,491,Darkrai,27.0837890625
217,123,Scyther,27.0740234375
218,735,Gumshoos,27.0544921875
219,844,Sandaconda,26.7072265625
220,631,Heatmor,26.6603515625
221,1003,Ting-Lu,26.1130859375
222,485,Heatran,26.0994140625
223,863,Perrserker,26.0857421875
224,881,Arctozolt,26.0818359375
225,584,Vanilluxe,26.080859375
226,381,Latios,26.0798828125
227,455,Carnivine,26.0662109375
228,779,Bruxish,26.0642578125
229,514,Simisear,26.057421875000003
230,516,Simipour,26.057421875000003
231,512,Simisage,26.057421875000003
232,275,Shiftry,26.0544921875
233,976,Veluza,25.265625000000004
234,680,Doublade,25.12265625
235,890,Eternatus,25.088671875
236,145,Zapdos,25.0798828125
237,89,Muk,25.0740234375
238,982,Dudunsparce,25.073046875
239,521,Unfezant,25.069140625
240,632,Durant,24.8927734375
241,658,Greninja,24.662109375
242,542,Leavanny,24.4720703125
243,718,Zygarde,24.308984375
244,626,Bouffalant,24.088671875
245,880,Dracozolt,24.0798828125
246,330,Flygon,24.0740234375
247,78,Rapidash,24.0662109375
248,142,Aerodactyl,24.061328125
249,523,Zebstrika,24.057421875
250,126,Magmar,24.05703125
251,57,Primeape,24.0564453125
252,1008,Miraidon,23.096484375
253,772,Type: Null,23.088671875
254,773,Silvally,23.088671875
255,230,Kingdra,23.088671875
256,689,Barbaracle,22.9025390625
257,962,Bombirdier,22.47890625
258,601,Klinklang,22.10234375
259,525,Boldore,22.0857421875
260,870,Falinks,22.0857421875
261,786,Tapu Lele,22.076953125
262,981,Farigiraf,22.0642578125
263,229,Houndoom,22.0505859375
264,414,Mothim,22.0447265625
265,91,Cloyster,21.1453125
266,477,Dusknoir,21.127734375
267,977,Dondozo,21.0984375
268,1004,Chi-Yu,21.0818359375
269,818,Inteleon,21.059375
270,967,Cyclizar,21.059375
271,234,Stantler,21.05703125
272,442,Spiritomb,20.1013671875
273,1001,Wo-Chien,20.100390625
274,533,Gurdurr,20.0720703125
275,460,Abomasnow,20.07109375
276,221,Piloswine,20.0701171875
277,920,Lokix,20.067578125
278,586,Sawsbuck,20.0642578125
279,945,Grafaiai,20.0607421875
280,424,Ambipom,20.0603515625
281,916,Oinkologne,19.8701171875
282,1009,Walking Wake,19.483203125
283,395,Empoleon,19.084375
284,107,Hitmonchan,19.0791015625
285,243,Raikou,19.0740234375
286,474,Porygon-Z,19.065234375
287,295,Exploud,19.057421875000003
288,972,Houndstone,18.89296875
289,34,Nidoking,18.670703125
290,377,Regirock,18.1716796875
291,249,Lugia,18.1275390625
292,638,Cobalion,18.1107421875
293,368,Gorebyss,18.092578125
294,640,Virizion,18.07734375
295,866,Mr. Rime,18.0740234375
296,67,Machoke,18.0623046875
297,556,Maractus,18.061328125
298,836,Boltund,18.0544921875
299,26,Raichu,18.0544921875
300,877,Morpeko,18.0525390625
301,961,Wugtrio,18.0486328125
302,321,Wailord,18.03984375
303,550,Basculin,17.657421875
304,934,Garganacl,17.1150390625
305,558,Crustle,17.108203125
306,110,Weezing,17.1033203125
307,28,Sandslash,17.092578125
308,989,Sandy Shocks,17.08828125
309,508,Stoutland,17.0837890625
310,6,Charizard,17.0734375
311,157,Typhlosion,17.0734375
312,98,Krabby,17.07109375
313,254,Sceptile,17.06328125
314,749,Mudbray,17.061328125
315,573,Cinccino,17.0544921875
316,70,Weepinbell,17.04375
317,328,Trapinch,17.03984375
318,991,Iron Bundle,16.8966796875
319,435,Skuntank,16.66015625
320,993,Iron Jugulis,16.4787109375
321,701,Hawlucha,16.466796875
322,499,Pignite,16.449609375
323,1025,Pecharunt,16.1380859375
324,1019,Hydrapple,16.0974609375
325,883,Arctovish,16.0916015625
326,372,Shelgon,16.0837890625
327,128,Tauros,16.0837890625
328,569,Garbodor,16.0759765625
329,47,Parasect,16.0740234375
330,842,Appletun,16.0740234375
331,510,Liepard,16.044726562500003
332,648,Meloetta,15.281054687500001
333,687,Malamar,15.279296875000002
334,437,Bronzong,15.109179687500001
335,144,Articuno,15.0984375
336,950,Klawf,15.096484375000001
337,820,Greedent,15.084765625000001
338,338,Solrock,15.075000000000001
339,211,Qwilfish,15.065234375000001
340,581,Swanna,15.057421875
341,1016,Fezandipiti,14.884375
342,119,Seaking,14.6623046875
343,777,Togedemaru,14.459375000000001
344,867,Runerigus,14.129687500000001
345,598,Ferrothorn,14.120898437500001
346,185,Sudowoodo,14.098437500000001
347,380,Latias,14.0916015625
348,882,Dracovish,14.089648437500001
349,538,Throh,14.078906250000001
350,169,Crobat,14.074023437500001
351,1015,Munkidori,14.0650390625
352,1021,Raging Bolt,13.884375
353,931,Squawkabilly,13.845703125000002
354,3,Venusaur,13.6802734375
355,125,Electabuzz,13.45703125
356,324,Torkoal,13.1189453125
357,472,Gliscor,13.108203125000001
358,75,Graveler,13.094531250000001
359,233,Porygon2,13.084765625
360,738,Vikavolt,13.080859375
361,131,Lapras,13.076953125
362,606,Beheeyem,13.073046875
363,537,Seismitoad,13.069140625
364,591,Amoonguss,13.0662109375
365,997,Arctibax,13.06015625
366,845,Cramorant,13.057421875
367,256,Combusken,13.0544921875
368,198,Murkrow,13.0369140625
369,331,Cacnea,13.0349609375
370,318,Carvanha,13.015429687500001
371,423,Gastrodon,12.865039062500001
372,55,Golduck,12.6724609375
373,730,Primarina,12.476367187500001
374,22,Fearow,12.258593750000001
375,205,Forretress,12.116992187500001
376,452,Drapion,12.096484375000001
377,862,Obstagoon,12.090625000000001
378,463,Lickilicky,12.088671875
379,45,Vileplume,12.0798828125
380,352,Kecleon,12.074023437500001
381,115,Kangaskhan,12.074023437500001
382,469,Yanmega,12.074023437500001
383,994,Iron Moth,12.0642578125
384,262,Mightyena,12.062304687500001
385,168,Ariados,12.062304687500001
386,347,Anorith,12.044726562500001
387,726,Torracat,12.0447265625
388,804,Naganadel,11.8671875
389,9,Blastoise,11.494531250000001
390,647,Keldeo,11.483789062500001
391,1011,Dipplin,11.0974609375
392,237,Hitmontop,11.091601562500001
393,365,Walrein,11.0837890625
394,545,Scolipede,11.07890625
395,181,Ampharos,11.0720703125
396,603,Eelektrik,11.0642578125
397,215,Sneasel,11.053515625000001
398,891,Kubfu,10.6525390625
399,693,Clawitzer,10.48203125
400,154,Meganium,10.2935546875
401,388,Grotle,10.275
402,305,Lairon,10.1150390625
403,462,Magnezone,10.1033203125
404,1023,Iron Crown,10.0951171875
405,911,Skeledirge,10.088671875
406,62,Poliwrath,10.0876953125
407,182,Bellossom,10.0818359375
408,778,Mimikyu,10.07890625
409,203,Girafarig,10.059375
410,444,Gabite,10.057421875
411,291,Ninjask,10.0408203125
412,426,Drifblim,10.0408203125
413,699,Aurorus,9.470117187500001
414,148,Dragonair,9.2603515625
415,369,Relicanth,9.11015625
416,560,Scrafty,9.108203125
417,346,Cradily,9.092578125000001
418,685,Slurpuff,9.077734375
419,195,Quagsire,9.075
420,24,Arbok,9.065234375
421,634,Zweilous,9.0642578125
422,407,Roserade,9.059375
423,897,Spectrier,9.0583984375
424,913,Quaxwell,9.0583984375
425,192,Sunflora,9.05546875
426,310,Manectric,9.0544921875
427,596,Galvantula,9.0544921875
428,77,Ponyta,9.0515625
429,776,Turtonator,8.71796875
430,31,Nidoqueen,8.680468750000001
431,823,Corviknight,8.29453125
432,930,Arboliva,8.2875
433,696,Tyrunt,8.26484375
434,247,Pupitar,8.2642578125
435,968,Orthworm,8.119921875
436,839,Coalossal,8.1072265625
437,80,Slowbro,8.0974609375
438,770,Palossand,8.096484375
439,416,Vespiquen,8.0955078125
440,707,Klefki,8.083984375
441,199,Slowking,8.0798828125
442,121,Starmie,8.07890625
443,898,Calyrex,8.0740234375
444,489,Phione,8.0740234375
445,362,Glalie,8.0740234375
446,478,Froslass,8.0642578125
447,259,Marshtomp,8.0642578125
448,505,Watchog,8.06328125
449,404,Luxio,8.04375
450,814,Raboot,7.854492187500001
451,711,Gourgeist,7.705859375000001
452,663,Talonflame,7.664843750000001
453,691,Dragalge,7.490234375
454,208,Steelix,7.16484375
455,788,Tapu Fini,7.1111328125
456,303,Mawile,7.073046875
457,178,Xatu,7.0642578125
458,811,Thwackey,7.0623046875
459,400,Bibarel,7.0544921875
460,402,Kricketune,7.045703125
461,619,Mienfoo,7.0447265625
462,855,Polteageist,6.8689453125
463,432,Purugly,6.4574218750000005
464,245,Suicune,6.108203125
465,600,Klang,6.08671875
466,186,Politoed,6.0740234375
467,655,Delphox,6.0716796875
468,18,Pidgeot,6.0681640625
469,196,Espeon,6.061328125
470,94,Gengar,6.057421875
471,277,Swellow,6.0525390625
472,636,Larvesta,6.049609375
473,391,Monferno,6.0466796875
474,292,Shedinja,6.0369140625
475,340,Whiscash,5.666796875
476,683,Aromatisse,5.469531250000001
477,875,Eiscue,5.0994140625
478,38,Ninetales,5.0740234375
479,579,Reuniclus,5.07109375
480,282,Gardevoir,5.069140625
481,42,Golbat,5.065234375
482,676,Furfrou,5.0603515625
483,873,Frosmoth,5.0603515625
484,941,Kilowattrel,5.0544921875
485,737,Charjabug,4.684765625000001
486,705,Sliggoo,4.659375000000001
487,502,Dewott,4.654492187500001
488,668,Pyroar,4.2650390625000005
489,832,Dubwool,4.0916015625
490,624,Pawniard,4.0583984375
491,907,Floragato,4.057421875
492,886,Drakloak,4.0447265625
493,732,Trumbeak,4.0447265625
494,446,Munchlax,4.04375
495,617,Accelgor,4.0388671875
496,159,Croconaw,3.8707031249999995
497,741,Oricorio,3.6642578125000007
498,610,Axew,3.6505859375000007
499,715,Noivern,3.4740234374999996
500,379,Registeel,3.1423828125
501,480,Uxie,3.1228515625
502,497,Serperior,3.088671875
503,780,Drampa,3.080078125
504,140,Kabuto,3.075
505,288,Vigoroth,3.069140625
506,637,Volcarona,3.0671875
507,587,Emolga,3.0544921875
508,554,Darumaka,3.03984375
509,84,Doduo,3.037890625
510,20,Raticate,2.8564453125000004
511,674,Pancham,2.8537109375000003
512,1000,Gholdengo,2.687890625000001
513,552,Krokorok,2.6398437500000003
514,671,Florges,2.4791015625
515,927,Dachsbun,2.1013671875
516,471,Glaceon,2.100390625
517,105,Marowak,2.0974609375
518,959,Tinkaton,2.0765625
519,111,Rhyhorn,2.0759765625
520,700,Sylveon,2.0720703124999997
521,272,Ludicolo,2.0701171874999997
522,723,Dartrix,2.0681640625
523,135,Jolteon,2.0613281249999997
524,134,Vaporeon,2.0613281249999997
525,341,Corphish,2.053515625
526,739,Crabrawler,2.0496093749999997
527,51,Dugtrio,2.0486328125
528,216,Teddiursa,2.0447265625
529,267,Beautifly,2.0447265624999997
530,529,Drilbur,2.0359375
531,240,Magby,2.035546875
532,69,Bellsprout,2.0291015625
533,627,Rufflet,1.8447265624999998
534,918,Spidops,1.6845703125
535,651,Quilladin,1.6814453125
536,729,Brionne,1.4656250000000006
537,758,Salazzle,1.4544921875000005
538,936,Armarouge,1.0896484375
539,564,Tirtouga,1.0851562500000005
540,609,Chandelure,1.0837890625
541,783,Hakamo-o,1.0798828125
542,317,Swalot,1.0769531250000002
543,97,Hypno,1.0730468750000002
544,36,Clefable,1.0705078124999998
545,302,Sableye,1.0671875
546,925,Maushold,1.065234375
547,803,Poipole,1.0613281250000002
548,876,Indeedee,1.057421875
549,15,Beedrill,1.0427734375
550,353,Shuppet,0.6296875000000005
551,1013,Sinistcha,0.29433593750000114
552,227,Skarmory,0.11894531249999993
553,241,Miltank,0.09160156249999993
554,82,Magneton,0.0837890624999999
555,949,Toedscruel,0.07011718749999987
556,73,Tentacruel,0.07011718749999987
557,88,Grimer,0.04472656249999993
558,878,Cufant,0.04374999999999993
559,209,Snubbull,0.04277343749999993
560,201,Unown,0.04277343749999957
561,939,Bellibolt,-0.11679687499999945
562,428,Lopunny,-0.3197265625000001
563,520,Tranquill,-0.34746093749999984
564,488,Cresselia,-0.8849609375000002
565,139,Omastar,-0.8927734375
566,375,Metang,-0.9103515625
567,679,Honedge,-0.9187500000000001
568,117,Seadra,-0.92109375
569,987,Flutter Mane,-0.934765625
570,507,Herdier,-0.940625
571,66,Machop,-0.958203125
572,40,Wigglytuff,-0.9591796875000002
573,294,Loudred,-0.962109375
574,56,Mankey,-0.96796875
575,942,Maschiff,-1.5472656249999999
576,441,Chatot,-1.5607421875000005
577,344,Claydol,-1.8986328125
578,334,Altaria,-1.91328125
579,970,Glimmora,-1.91796875
580,74,Geodude,-1.9201171875
581,869,Alcremie,-1.921875
582,87,Dewgong,-1.923046875
583,549,Lilligant,-1.930859375
584,351,Castform,-1.9357421875
585,49,Venomoth,-1.942578125
586,58,Growlithe,-1.9591796875
587,922,Pawmo,-1.9650390625
588,320,Wailmer,-1.969921875
589,162,Furret,-2.143359375
590,662,Fletchinder,-2.3509765625000005
591,618,Stunfisk,-2.9191406250000003
592,547,Whimsicott,-2.9230468750000007
593,457,Lumineon,-2.9279296875000003
594,44,Gloom,-2.9347656250000003
595,394,Prinplup,-2.9361328125000004
596,429,Mismagius,-2.9367187500000003
597,206,Dunsparce,-2.9367187500000003
598,980,Clodsire,-2.9376953125
599,53,Persian,-2.9445312500000003
600,532,Timburr,-2.954296875
601,759,Stufful,-2.9552734375
602,253,Grovyle,-2.9562500000000003
603,357,Tropius,-3.1222656250000003
604,33,Nidorino,-3.3488281250000003
605,956,Espathra,-3.745507812499999
606,356,Dusclops,-3.8771484375000003
607,350,Milotic,-3.91796875
608,594,Alomomola,-3.9328125
609,583,Vanillish,-3.9386718750000003
610,371,Bagon,-3.9513671875
611,315,Roselia,-3.9533203125000003
612,397,Staravia,-3.9572265625
613,588,Karrablast,-3.96015625
614,570,Zorua,-3.9650390625000003
615,274,Nuzleaf,-3.9650390625000003
616,613,Cubchoo,-3.9650390625000003
617,793,Nihilego,-4.141796875000001
618,313,Volbeat,-4.146484375000001
619,5,Charmeleon,-4.74609375
620,156,Quilava,-4.74609375
621,207,Gligar,-4.909375
622,561,Sigilyph,-4.9259765625
623,559,Scraggy,-4.9357421875
624,817,Drizzile,-4.950390625
625,65,Alakazam,-4.95234375
626,657,Frogadier,-4.9525390625000005
627,193,Yanma,-4.96015625
628,996,Frigibax,-4.96015625
629,964,Palafin,-5.335742187499999
630,622,Golett,-5.7552734375
631,752,Araquanid,-5.9064453125
632,765,Oranguru,-5.9201171875
633,438,Bonsly,-5.92109375
634,366,Clamperl,-5.926953125000001
635,264,Linoone,-5.94453125
636,708,Phantump,-5.9548828125
637,258,Mudkip,-5.9552734375
638,329,Vibrava,-5.9552734375
639,731,Pikipek,-5.9748046875
640,695,Heliolisk,-6.1451171875
641,2,Ivysaur,-6.3392578125000005
642,518,Musharna,-6.519140625
643,421,Cherrim,-6.534179687500001
644,449,Hippopotas,-6.7349609375
645,654,Braixen,-6.745117187500001
646,985,Scream Tail,-6.904296875
647,1024,Terapagos,-6.92109375
648,593,Jellicent,-6.92890625
649,524,Roggenrola,-6.9328125
650,137,Porygon,-6.934765625
651,200,Misdreavus,-6.940625
652,46,Paras,-6.950390625
653,536,Palpitoad,-6.950390625
654,223,Remoraid,-6.969921875
655,813,Scorbunny,-7.1650390625
656,551,Sandile,-7.369921875
657,852,Clobbopus,-7.5474609375
658,672,Skiddo,-7.555468750000001
659,197,Umbreon,-7.8927734375
660,114,Tangela,-7.9064453125
661,468,Togekiss,-7.907421875
662,304,Aron,-7.9181640625
663,109,Koffing,-7.92109375
664,27,Sandshrew,-7.9318359375
665,978,Tatsugiri,-7.938671875
666,284,Masquerain,-7.9396484375
667,190,Aipom,-7.950390625
668,443,Gible,-7.96015625
669,725,Litten,-7.9650390625
670,228,Houndour,-7.9708984375
671,418,Buizel,-7.9708984375
672,828,Thievul,-8.1408203125
673,83,Farfetch'd,-8.3490234375
674,8,Wartortle,-8.5259765625
675,387,Turtwig,-8.543359375
676,239,Elekid,-8.564453125
677,630,Mandibuzz,-8.903515625
678,576,Gothitelle,-8.9083984375
679,413,Wormadam,-8.9171875
680,954,Rabsca,-8.9181640625
681,364,Sealeo,-8.9357421875
682,337,Lunatone,-8.93671875
683,301,Delcatty,-8.942578125
684,743,Ribombee,-8.9435546875
685,808,Meltan,-8.946484375
686,124,Jynx,-8.958203125
687,93,Haunter,-8.958203125
688,860,Morgrem,-8.958203125
689,447,Riolu,-8.9650390625
690,702,Dedenne,-9.346484375000001
691,153,Bayleef,-9.725976562500001
692,822,Corvisquire,-9.750390625000001
693,910,Crocalor,-9.9318359375
694,61,Poliwhirl,-9.9435546875
695,965,Varoom,-9.94609375
696,459,Snover,-9.9533203125
697,850,Sizzlipede,-9.9591796875
698,912,Quaxly,-9.96015625
699,255,Torchic,-9.9630859375
700,951,Capsakid,-9.9650390625
701,734,Yungoos,-9.9748046875
702,712,Bergmite,-10.330859375000001
703,710,Pumpkaboo,-10.338671875000001
704,171,Lanturn,-10.3439453125
705,427,Buneary,-10.358789062500001
706,147,Dratini,-10.7591796875
707,748,Toxapex,-10.8576171875
708,90,Shellder,-10.92109375
709,605,Elgyem,-10.950390625
710,528,Swoobat,-10.950390625
711,633,Deino,-10.9552734375
712,322,Numel,-10.9640625
713,453,Croagunk,-10.9650390625
714,946,Bramblin,-10.973828125
715,158,Totodile,-11.1447265625
716,30,Nidorina,-11.341015625
717,118,Goldeen,-11.347460937500001
718,698,Amaura,-11.352734375
719,736,Grubbin,-11.360156250000001
720,541,Swadloon,-11.5181640625
721,974,Cetoddle,-11.5611328125
722,246,Larvitar,-11.7552734375
723,378,Regice,-11.8869140625
724,774,Minior,-11.9064453125
725,531,Audino,-11.9201171875
726,838,Carkol,-11.9201171875
727,308,Medicham,-11.930859375
728,496,Servine,-11.930859375
729,79,Slowpoke,-11.9455078125
730,327,Spinda,-11.9455078125
731,690,Skrelp,-11.9455078125
732,180,Flaaffy,-11.9494140625
733,810,Grookey,-11.9572265625
734,944,Shroodle,-11.969921875
735,403,Shinx,-11.9708984375
736,666,Vivillon,-12.355273437500001
737,498,Tepig,-12.56015625
738,476,Probopass,-12.8615234375
739,563,Cofagrigus,-12.8703125
740,204,Pineco,-12.926953125
741,479,Rotom,-12.92890625
742,557,Dwebble,-12.930859375
743,358,Chimecho,-12.9337890625
744,615,Cryogonal,-12.954296875
745,833,Chewtle,-13.157617187500001
746,434,Stunky,-13.359375000000002
747,650,Chespin,-13.54453125
748,846,Arrokuda,-13.5669921875
749,764,Comfey,-13.9123046875
750,769,Sandygast,-13.9328125
751,929,Dolliv,-13.9419921875
752,17,Pidgeotto,-13.9513671875
753,390,Chimchar,-13.9611328125
754,744,Rockruff,-13.9650390625
755,522,Blitzle,-13.9728515625
756,906,Sprigatito,-14.153125000000001
757,656,Froakie,-14.7642578125
758,279,Pelipper,-14.9123046875
759,222,Corsola,-14.92109375
760,578,Duosion,-14.9533203125
761,311,Plusle,-14.958203125
762,225,Delibird,-14.96015625
763,501,Oshawott,-15.36015625
764,728,Popplio,-15.5509765625
765,219,Magcargo,-15.8947265625
766,830,Eldegoss,-15.9103515625
767,122,Mr. Mime,-15.9298828125
768,108,Lickitung,-15.930859375
769,101,Electrode,-15.9337890625
770,231,Phanpy,-15.9494140625
771,585,Deerling,-15.9552734375
772,23,Ekans,-15.9591796875
773,167,Spinarak,-15.9650390625
774,885,Dreepy,-15.9748046875
775,164,Noctowl,-16.7462890625
776,933,Naclstack,-16.91328125
777,678,Meowstic,-16.92890625
778,189,Jumpluff,-16.9328125
779,43,Oddish,-16.9484375
780,287,Slakoth,-16.950390625
781,590,Foongus,-16.958203125
782,660,Diggersby,-17.12890625
783,971,Greavard,-17.146484375
784,667,Litleo,-17.3482421875
785,54,Psyduck,-17.3568359375
786,682,Spritzee,-17.74453125
787,21,Spearow,-17.774609375
788,771,Pyukumuku,-17.8771484375
789,756,Shiinotic,-17.9220703125
790,326,Grumpig,-17.9318359375
791,692,Clauncher,-17.943359375
792,722,Rowlet,-17.9513671875
793,177,Natu,-17.96015625
794,753,Fomantis,-17.969921875
795,25,Pikachu,-17.9728515625
796,155,Cyndaquil,-18.3607421875
797,4,Charmander,-18.3607421875
798,32,Nidoran♂,-18.3650390625
799,629,Vullaby,-18.9328125
800,599,Klink,-18.9376953125
801,782,Jangmo-o,-18.94453125
802,958,Tinkatuff,-18.9451171875
803,393,Piplup,-18.951757812500002
804,133,Eevee,-18.95234375
805,582,Vanillite,-18.9533203125
806,515,Panpour,-18.9572265625
807,513,Pansear,-18.9572265625
808,511,Pansage,-18.9572265625
809,506,Lillipup,-18.96015625
810,602,Tynamo,-18.9650390625
811,843,Silicobra,-19.3357421875
812,431,Glameow,-19.564062500000002
813,314,Illumise,-19.746484375
814,1,Bulbasaur,-19.753125
